field	baseline_enumeration	enumeration_description
in.county	G2900470	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900490	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900510	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900530	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900550	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900570	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900590	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900610	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900630	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900650	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900670	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900690	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900710	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900730	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900750	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900770	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900790	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900810	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900830	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900850	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900870	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900890	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900910	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900930	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900950	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900970	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2900990	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901250	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901310	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901330	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901350	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901370	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901390	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901410	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901430	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901450	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901470	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901490	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901510	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901530	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901550	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901570	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901590	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901610	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901630	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901650	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901670	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901690	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901710	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901730	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901750	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901770	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901790	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901810	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901830	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901850	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901860	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901870	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901890	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901950	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901970	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2901990	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902250	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2902290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G2905100	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000250	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000310	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000330	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000350	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000370	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000390	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000410	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000430	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000450	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000470	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000490	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000510	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000530	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000550	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000570	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000590	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000610	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000630	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000650	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000670	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000690	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000710	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000730	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000750	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000770	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000790	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000810	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000830	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000850	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000870	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000890	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000910	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000930	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000950	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000970	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3000990	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3001010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3001030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3001050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3001070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3001090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3001110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100250	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100310	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100330	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100350	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100370	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100390	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100410	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100430	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100450	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100470	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100490	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100510	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100530	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100550	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100570	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100590	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100610	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100630	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100650	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100670	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100690	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100710	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100730	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100750	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100770	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100790	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100810	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100830	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100850	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100870	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100890	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100910	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100930	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100950	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100970	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3100990	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101090	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101110	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101130	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101150	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101170	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101190	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101210	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101230	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101250	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101270	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101290	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101310	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101330	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101350	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101370	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101390	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101410	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101430	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101450	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101470	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101490	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101510	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101530	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101550	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101570	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101590	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101610	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101630	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101650	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101670	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101690	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101710	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101730	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101750	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101770	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101790	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101810	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101830	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3101850	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200010	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200030	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200050	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
in.county	G3200070	GISJOIN identifier for each county: ""G"" + the NHGIS state code + ""0"" + the NHGIS county code + ""0""
